1508,1042
1424,1042
1336,1042
1253,1042
1163,1042
1082,1042
991,1042
907,1042
817,1042
733,1042
647,1042
566,1042
480,1025
405,988
335,936
282,870
244,795
220,712
218,625
229,541
263,461
314,394
377,335
447,293
532,269
617,261
703,274
781,304
856,346
910,402
976,463
1042,506
1130,521
1209,510
1282,471
1343,417
1405,347
1473,283
1538,219
1599,165
1653,161
1694,181
1730,218
1730,299
1730,384
1730,472
1730,556
1730,641
1730,727
1730,813
1730,899
1725,984
1677,1034
1596,1043
